id,count,y,ycount,x1,x2
1150,,0,1,0,1
1150,,0,1,0,3
1150,,0,1,0,3
1150,,0,1,0,6
1150,,0,1,0,9
1150,,0,1,0,10
1150,,0,1,1,2
1150,10,0,1,1,6
1150,,1,1,0,7
1154,,0,2,0,4
1154,,0,2,0,5
1154,,0,2,0,7
1154,,0,2,0,9
1154,,1,2,0,3
1154,6,1,2,0,4
1155,,0,1,0,5
1155,,0,1,0,10
1155,6,0,1,0,10
1155,,0,1,1,2
1155,,0,1,1,7
1155,,1,1,0,8
1156,,0,1,0,1
1156,,0,1,0,4
1156,,0,1,0,7
1156,6,0,1,1,2
1156,,0,1,1,8
1156,,1,1,0,5
1157,,0,1,0,2
1157,,0,1,0,6
1157,,0,1,1,5
1157,4,1,1,0,7
1163,,0,1,0,2
1163,,0,1,0,3
1163,,0,1,0,7
1163,,0,1,1,3
1163,,0,1,1,5
1163,8,0,1,1,7
1163,,0,1,1,7
1163,,1,1,1,6
1169,,0,1,0,3
1169,5,0,1,0,8
1169,,0,1,1,3
1169,,0,1,1,4
1169,,1,1,0,8
1172,,0,2,0,2
1172,7,0,2,0,2
1172,,0,2,0,4
1172,,0,2,0,5
1172,,0,2,0,9
1172,,1,2,0,3
1172,,1,2,1,9
1176,,0,2,0,1
1176,,0,2,0,3
1176,,0,2,1,9
1176,,1,2,1,7
1176,5,1,2,1,7
1181,,0,1,0,1
1181,,0,1,0,5
1181,,0,1,0,5
1181,,0,1,0,9
1181,,0,1,0,9
1181,,0,1,0,10
1181,9,0,1,0,10
1181,,0,1,1,4
1181,,1,1,1,7
1186,4,0,1,0,3
1186,,0,1,0,4
1186,,0,1,0,7
1186,,1,1,1,12
1187,2,0,1,0,1
1187,,1,1,0,8
1191,,0,1,0,3
1191,,0,1,0,5
1191,,0,1,0,6
1191,,0,1,0,7
1191,,0,1,1,5
1191,6,1,1,0,5
1195,,0,3,0,4
1195,6,0,3,0,9
1195,,0,3,0,10
1195,,1,3,0,2
1195,,1,3,0,4
1195,,1,3,1,4
